event_id,channel,event_type,subject_id,actor_id,occurred_at,payload
evt-6f9abb1f6a9f,matching,match-found,jr-001,system,2026-04-15T12:00:00+00:00,"{""job_id"": ""jr-001"", ""match_count"": 4}"
evt-6eb57750cd0f,matching,match-found,jr-002,system,2026-04-15T13:00:00+00:00,"{""job_id"": ""jr-002"", ""match_count"": 3}"
evt-7b1cd71c72d2,matching,match-found,jr-003,system,2026-04-15T14:00:00+00:00,"{""job_id"": ""jr-003"", ""match_count"": 5}"
evt-b80ddc34c98c,matching,match-found,jr-005,system,2026-04-15T16:00:00+00:00,"{""job_id"": ""jr-005"", ""match_count"": 2}"
evt-f710b465126b,timesheets,timesheet-submitted,ts-001,e-001,2026-04-15T18:00:00+00:00,"{""hours"": 18.5, ""rate"": 48.0}"
evt-092e60c90f7e,timesheets,timesheet-submitted,ts-002,e-002,2026-04-15T19:00:00+00:00,"{""hours"": 12.0, ""rate"": 58.0}"
evt-73ded1ffe7d0,timesheets,timesheet-submitted,ts-006,e-004,2026-04-15T23:00:00+00:00,"{""hours"": 8.0, ""rate"": 38.0}"
evt-fc0ac8ee0bc0,invoices,invoice-paid,INV-2026-0042,e-001,2026-04-16T00:00:00+00:00,"{""total"": 1003.2, ""client"": ""Cedar Health Co-op""}"
evt-9076c15655f9,invoices,invoice-paid,INV-2026-0041,e-002,2026-04-16T01:00:00+00:00,"{""total"": 733.7, ""client"": ""Lumen AI""}"
evt-a7d58a512d0a,invoices,invoice-paid,INV-2026-0036,e-001,2026-04-16T02:00:00+00:00,"{""total"": 1056.0, ""client"": ""Cedar Health Co-op""}"
evt-ec26293e76a9,invoices,invoice-paid,INV-2026-0034,e-002,2026-04-16T03:00:00+00:00,"{""total"": 638.0, ""client"": ""Lumen AI""}"
evt-9855b34cf0be,disputes,dispute-opened,ts-00017,admin,2026-04-16T18:00:00+00:00,"{""reason"": ""hours mismatch""}"
evt-d2ff6a828d28,messaging,message-received,e-001,t-001,2026-04-16T21:00:00+00:00,"{""preview"": ""confirming week coverage""}"
